Stock,Model,Variant,Delta_RMSE,ModelVariant
KO,CNN,only_score,-0.3341624640787957,CNN | only_score
KO,CNN,only_score_bert,-0.24392455043071726,CNN | only_score_bert
KO,CNN,score_plus_topic_vader,-0.4753346783605239,CNN | score_plus_topic_vader
KO,CNN,score_bert_plus_topic_bert,-0.03981277149399842,CNN | score_bert_plus_topic_bert
KO,CNN-LSTM,only_score,-0.1855891198487215,CNN-LSTM | only_score
KO,CNN-LSTM,only_score_bert,-0.0748128451893515,CNN-LSTM | only_score_bert
KO,CNN-LSTM,score_plus_topic_vader,-0.3044154241123459,CNN-LSTM | score_plus_topic_vader
KO,CNN-LSTM,score_bert_plus_topic_bert,0.02357037480875157,CNN-LSTM | score_bert_plus_topic_bert
KO,LSTM,only_score,-0.5422939774066757,LSTM | only_score
KO,LSTM,only_score_bert,-0.1035309914445901,LSTM | only_score_bert
KO,LSTM,score_plus_topic_vader,-0.25404411504497526,LSTM | score_plus_topic_vader
KO,LSTM,score_bert_plus_topic_bert,-0.01989526341402481,LSTM | score_bert_plus_topic_bert
META,CNN,only_score,-7.403246060152728,CNN | only_score
META,CNN,only_score_bert,-1.6343434213515344,CNN | only_score_bert
META,CNN,score_plus_topic_vader,-3.528094790075823,CNN | score_plus_topic_vader
META,CNN,score_bert_plus_topic_bert,-1.0971577721708528,CNN | score_bert_plus_topic_bert
META,CNN-LSTM,only_score,-2.6918031800192797,CNN-LSTM | only_score
META,CNN-LSTM,only_score_bert,-1.1382618687492805,CNN-LSTM | only_score_bert
META,CNN-LSTM,score_plus_topic_vader,-3.680315368640146,CNN-LSTM | score_plus_topic_vader
META,CNN-LSTM,score_bert_plus_topic_bert,-2.250646248804614,CNN-LSTM | score_bert_plus_topic_bert
META,LSTM,only_score,-6.804189129362955,LSTM | only_score
META,LSTM,only_score_bert,-1.8264983594720245,LSTM | only_score_bert
META,LSTM,score_plus_topic_vader,-7.369892568569732,LSTM | score_plus_topic_vader
META,LSTM,score_bert_plus_topic_bert,-6.5485647170954575,LSTM | score_bert_plus_topic_bert
MSFT,CNN,only_score,2.7187564424335857,CNN | only_score
MSFT,CNN,only_score_bert,4.531396733015072,CNN | only_score_bert
MSFT,CNN,score_plus_topic_vader,3.748788841805645,CNN | score_plus_topic_vader
MSFT,CNN,score_bert_plus_topic_bert,0.9570437600500217,CNN | score_bert_plus_topic_bert
MSFT,CNN-LSTM,only_score,-3.8135030961947898,CNN-LSTM | only_score
MSFT,CNN-LSTM,only_score_bert,5.889814196057826,CNN-LSTM | only_score_bert
MSFT,CNN-LSTM,score_plus_topic_vader,-3.1045678294817254,CNN-LSTM | score_plus_topic_vader
MSFT,CNN-LSTM,score_bert_plus_topic_bert,3.7707612709148677,CNN-LSTM | score_bert_plus_topic_bert
MSFT,LSTM,only_score,3.783853329394635,LSTM | only_score
MSFT,LSTM,only_score_bert,2.007101321793389,LSTM | only_score_bert
MSFT,LSTM,score_plus_topic_vader,3.366425833460526,LSTM | score_plus_topic_vader
MSFT,LSTM,score_bert_plus_topic_bert,3.5377510597525417,LSTM | score_bert_plus_topic_bert
NFLX,CNN,only_score,-0.688356071559987,CNN | only_score
NFLX,CNN,only_score_bert,1.6054407604645,CNN | only_score_bert
NFLX,CNN,score_plus_topic_vader,-5.0131554798296065,CNN | score_plus_topic_vader
NFLX,CNN,score_bert_plus_topic_bert,0.9917223558586343,CNN | score_bert_plus_topic_bert
NFLX,CNN-LSTM,only_score,-3.1950995514890543,CNN-LSTM | only_score
NFLX,CNN-LSTM,only_score_bert,-4.192952460834899,CNN-LSTM | only_score_bert
NFLX,CNN-LSTM,score_plus_topic_vader,-7.603389354557558,CNN-LSTM | score_plus_topic_vader
NFLX,CNN-LSTM,score_bert_plus_topic_bert,-0.8661142136366102,CNN-LSTM | score_bert_plus_topic_bert
NFLX,LSTM,only_score,0.018433748466636146,LSTM | only_score
NFLX,LSTM,only_score_bert,-0.11226333352216677,LSTM | only_score_bert
NFLX,LSTM,score_plus_topic_vader,-2.57189021667147,LSTM | score_plus_topic_vader
NFLX,LSTM,score_bert_plus_topic_bert,-0.8692973612403829,LSTM | score_bert_plus_topic_bert
NIO,CNN,only_score,0.18765619211380113,CNN | only_score
NIO,CNN,only_score_bert,0.06996613664907292,CNN | only_score_bert
