Stock,Set,Metric,CNN,CNN(Topic),CNN-LSTM,CNN-LSTM(Topic),LSTM,LSTM(Topic)
META,Test Set,MAPE,10.728474588578354,10.443584816241017,,,,
META,Train Set,RMSE,,,7.696784706498649,6.811719494738053,,
META,Train Set,MAE,,,5.475501224912444,4.975512274380386,,
META,Train Set,R2,,,0.9861539182196171,0.9891551955342175,,
META,Train Set,MAPE,,,2.328054233879885,2.1639034035963607,,
META,Test Set,RMSE,,,6.339154549150537,15.317576798287085,,
META,Test Set,MAE,,,5.7399147033691404,13.423725128173828,,
META,Test Set,R2,,,0.6537064572068285,-1.0219101215308082,,
META,Test Set,MAPE,,,3.8781568265098723,9.281093415393904,,
META,Train Set,RMSE,,,,,8.021370396512651,8.429850811440483
META,Train Set,MAE,,,,,5.5779300933988205,6.079450936153016
META,Train Set,R2,,,,,0.9849614710305226,0.9833908276234281
META,Train Set,MAPE,,,,,2.4999558455503523,2.5995845796826598
META,Test Set,RMSE,,,,,10.890615505843936,12.104185452169363
META,Test Set,MAE,,,,,8.775714111328124,10.292516326904297
META,Test Set,R2,,,,,-0.022083940377566558,-0.2625623997048643
META,Test Set,MAPE,,,,,6.121809999444419,7.148964720415216
MSFT,Train Set,RMSE,2.463825827583305,4.069958634102942,,,,
MSFT,Train Set,MAE,1.8853604171076421,3.1306454512873305,,,,
MSFT,Train Set,R2,0.9911131393801808,0.9757501893287233,,,,
MSFT,Train Set,MAPE,0.6355681334512473,1.0765003541406364,,,,
MSFT,Test Set,RMSE,14.391135228544412,13.503107274303712,,,,
MSFT,Test Set,MAE,12.805078887939459,11.841126251220707,,,,
MSFT,Test Set,R2,-1.308653917092403,-1.0325262426925872,,,,
MSFT,Test Set,MAPE,5.250281783575025,4.869397421780512,,,,
MSFT,Train Set,RMSE,,,5.302566659790812,4.251525562243549,,
MSFT,Train Set,MAE,,,4.333973400698508,3.44431571772533,,
MSFT,Train Set,R2,,,0.9588376050370765,0.9735382872308177,,
MSFT,Train Set,MAPE,,,1.5230941789153134,1.1958701054705805,,
MSFT,Test Set,RMSE,,,20.30290676711676,13.65317511611827,,
MSFT,Test Set,MAE,,,16.944345855712893,11.98359756469727,,
MSFT,Test Set,R2,,,-3.5949963047947735,-1.0779545629533125,,
MSFT,Test Set,MAPE,,,6.993845188851687,4.930052307597312,,
MSFT,Train Set,RMSE,,,,,5.498088406655452,5.201546396232033
MSFT,Train Set,MAE,,,,,4.438771590810691,4.2186150762247925
MSFT,Train Set,R2,,,,,0.9557460745968105,0.9603910513423048
MSFT,Train Set,MAPE,,,,,1.5425183796751902,1.4827316853346226
MSFT,Test Set,RMSE,,,,,14.628810531526046,10.235131339624933
MSFT,Test Set,MAE,,,,,12.302069091796879,8.585899353027347
MSFT,Test Set,R2,,,,,-1.3855402908464485,-0.16776529937799278
MSFT,Test Set,MAPE,,,,,5.071682907433617,3.533617346216491
