Stock,Model,Variant,RMSE,MAE,R2,MAPE%,n_obs,n_test
AMZN,CNN-LSTM,score_bert_plus_topic_bert,4.824480103981362,4.059238433837894,0.4473304345083393,3.2401469574029034,233,20
AMZN,CNN-LSTM,score_plus_topic_vader,4.431337023203072,3.8489162445068397,0.5337336513841641,3.073020655557432,233,20
AMZN,LSTM,no_scores,4.0134464750718095,3.433591079711918,0.6175281638026133,2.743084058495257,233,20
AMZN,LSTM,only_score,4.302989606418591,3.622887802124027,0.5603519976897958,2.8954326046204737,233,20
AMZN,LSTM,only_score_bert,4.897967698164325,3.9691173553466834,0.43036542294608904,3.138829929971681,233,20
AMZN,LSTM,score_bert_plus_topic_bert,4.946273654330234,4.298043441772463,0.4190740319654509,3.502846200156691,233,20
AMZN,LSTM,score_plus_topic_vader,4.516917438014384,3.8666130065918005,0.5155501621901792,3.0968183446448423,233,20
BA,CNN,no_scores,6.3348448360001335,5.2650794982910165,0.6386611120866084,3.722376106004657,233,20
BA,CNN,only_score,10.671428300674231,9.622999954223634,-0.025387081129681688,6.829935921064092,233,20
BA,CNN,only_score_bert,5.86955086910226,5.232177352905274,0.6897923658185099,3.628860232937335,233,20
BA,CNN,score_bert_plus_topic_bert,5.545800939773489,4.911710739135741,0.7230691785511536,3.4476628628411805,233,20
BA,CNN,score_plus_topic_vader,4.337853645748067,3.5133312225341804,0.8305691340345348,2.4888578861602606,233,20
BA,CNN-LSTM,no_scores,5.501482756571104,4.61843376159668,0.7274775704461112,3.3006673502294928,233,20
BA,CNN-LSTM,only_score,8.062278566415172,6.910813522338867,0.41472720240350935,4.931225924339148,233,20
BA,CNN-LSTM,only_score_bert,5.185379787709415,4.262793350219727,0.7578949318694022,3.0638978541702175,233,20
BA,CNN-LSTM,score_bert_plus_topic_bert,7.9438940316264715,6.947951126098633,0.43178901657067126,4.925770934621425,233,20
BA,CNN-LSTM,score_plus_topic_vader,4.4171926253105225,3.8356082916259773,0.824314703173998,2.691838385295834,233,20
BA,LSTM,no_scores,7.144482018696388,6.090544509887696,0.5403955394439057,4.350165317781329,233,20
BA,LSTM,only_score,6.603720458213908,5.318198776245118,0.6073368903101064,3.8183110760576366,233,20
BA,LSTM,only_score_bert,8.060411132165834,6.972107315063477,0.41499829992999016,4.970713256978587,233,20
BA,LSTM,score_bert_plus_topic_bert,6.199559001926519,5.186875534057618,0.6539296955090699,3.7108094592299903,233,20
BA,LSTM,score_plus_topic_vader,9.64048459364976,8.594768142700195,0.1631637787491923,6.137374516083888,233,20
BX,CNN,no_scores,5.7571632540777795,4.886414337158202,-0.08700816211944162,5.332400595379909,233,20
BX,CNN,only_score,4.787604302340179,3.7768608093261724,0.24828673725558303,4.19325857600583,233,20
BX,CNN,only_score_bert,6.258121629796562,5.436757278442382,-0.28441010833958247,5.974397426925146,233,20
BX,CNN,score_bert_plus_topic_bert,6.186918638998611,4.888475036621093,-0.2553491281893365,5.448560276599344,233,20
BX,CNN,score_plus_topic_vader,5.656260521045379,5.019529342651368,-0.04923924024854487,5.634173350407238,233,20
BX,CNN-LSTM,no_scores,4.506709671904254,3.919553756713868,0.3339069874026793,4.401447828023125,233,20
BX,CNN-LSTM,only_score,4.133037007914284,3.7361652374267584,0.4397855539200116,4.09704725339579,233,20
BX,CNN-LSTM,only_score_bert,3.9433609566771275,3.6500473022460946,0.49002512534577536,4.018063221613128,233,20
BX,CNN-LSTM,score_bert_plus_topic_bert,4.461395221809388,3.802578735351563,0.34723462297190866,4.215297462762441,233,20
