Stock,Modèle,AvecTopic,RMSE,MAE,R2,MAPE%
ENPH,CNN,False,19.43517091044677,16.147126770019533,-0.571730203424649,5.435362915691446
ENPH,CNN,True,20.177301612192156,14.773471069335931,-0.6940547515901032,4.889199877698658
ENPH,CNN-LSTM,False,13.493018217122357,10.863908386230468,0.24243572851127404,3.6666471294624214
ENPH,CNN-LSTM,True,14.294209169671861,10.3696792602539,0.14979914661848392,3.423997341107922
ENPH,LSTM,False,27.441454382473253,19.77202911376953,-2.133397703236756,6.505827150486773
ENPH,LSTM,True,11.156349391953217,8.315745544433582,0.4821005085146838,2.7624693071873967
F,CNN,False,0.9790983804430052,0.9172379970550537,0.5081011920521961,6.8099938844532915
F,CNN,True,1.0110935245477213,0.9433073997497559,0.4754272050673738,6.736393460175092
F,CNN-LSTM,False,0.6367259328761168,0.5602183341979982,0.7919689397601584,3.980468847727651
F,CNN-LSTM,True,0.7281674386347547,0.6443730831146242,0.7279268935961585,4.588153790224579
F,LSTM,False,0.726252681942847,0.6132463932037354,0.7293558749955033,4.270150616135675
F,LSTM,True,0.5301296177300995,0.4159871101379397,0.855792700998848,2.9796016630760414
GOOG,CNN,False,13.540680138114729,11.275082778930662,-7.4465479700674475,11.115753604231553
GOOG,CNN,True,10.221795497240558,8.017058563232421,-3.8134079448450082,7.943202493966014
GOOG,CNN-LSTM,False,16.102567942444615,12.334082412719724,-10.945066587558047,12.238274022814373
GOOG,CNN-LSTM,True,16.724642672008823,12.303920745849606,-11.885817905630814,12.245313587340583
GOOG,LSTM,False,11.292245225228841,8.456535339355465,-4.87433752180405,8.402858560458034
GOOG,LSTM,True,11.914242308095483,8.771389007568356,-5.539298337472073,8.72205546182229
INTC,CNN,False,1.4274696969150313,1.2311759948730479,0.23322191209954501,4.378216150533531
INTC,CNN,True,4.32091462622645,3.8352059364318847,-6.0256622766202295,13.672208351956435
INTC,CNN-LSTM,False,1.1425919185941826,0.9775636672973645,0.5087323186171198,3.50728926824874
INTC,CNN-LSTM,True,1.376707981480177,1.2402012825012212,0.2867864936541933,4.377584283217496
INTC,LSTM,False,2.6037058389230747,2.362667179107666,-1.5510544743073962,8.43138173774595
INTC,LSTM,True,4.179004184785622,3.3915074348449705,-5.571757213718291,12.222484759911067
KO,CNN,False,1.0781557294540687,0.9478988647460955,0.5935511628775559,1.6149484496655306
KO,CNN,True,1.207810574254467,1.0380607604980487,0.48991735186688745,1.7675290972587125
KO,CNN-LSTM,False,0.9061685852526014,0.7437017440795923,0.7128816831958669,1.2683465342987912
